id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1992345,Furnished apartment near the lake,1509492,Villa,Kreis 2,Wollishofen,47.33772,8.53953,Entire home/apt,250,5,2,2024-06-01,0.01,3,329,1,
2004128,Super central & cozy (+ family-friendly)!,8658139,Malin,Kreis 4,Werd,47.37043,8.52843,Entire home/apt,165,5,29,2023-08-09,0.22,1,142,0,
2019124,"New Modern Apartment, Great Area!",4387358,Mo & Angelika,Kreis 5,Escher Wyss,47.38797,8.5122,Entire home/apt,202,14,23,2023-08-26,0.17,3,243,0,
2021797,Roomy well-lit Private room Heart of Zurich,10379615,Josh,Kreis 3,Alt-Wiedikon,47.36249,8.52253,Private room,60,28,139,2024-09-02,1.03,2,119,1,
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7",10487269,Christine,Kreis 7,Hottingen,47.36644,8.56301,Private room,54,7,107,2024-09-01,0.83,3,258,2,
2055920,Modern 5.5 Meter Celings City Center Flat!,4387358,Mo & Angelika,Kreis 5,Gewerbeschule,47.38153,8.5288,Entire home/apt,404,10,17,2024-11-10,0.13,3,242,2,
2073042,Bedroom i/Family Home ZüriHottingen,10487269,Christine,Kreis 7,Hottingen,47.36672,8.56401,Private room,52,5,61,2024-09-14,0.46,3,248,4,
2082084,Basic Well-lit Private Room Heart of Zurich,10379615,Josh,Kreis 3,Alt-Wiedikon,47.36431,8.52174,Private room,50,28,132,2024-11-01,1.00,2,167,6,
2153011,cosy room in fully refurbished flat,10668255,Franziska,Kreis 4,Werd,47.37133,8.52897,Private room,,21,34,2024-10-02,0.26,1,19,2,
2470664,"Old-town, cozy 2 rooms flat, fully furnished",10651736,Alberto,Kreis 1,Rathaus,47.37452,8.54549,Entire home/apt,91,20,55,2024-09-21,0.42,2,337,4,
2579889,Mi Casa es su Casa,75558392,Filipa,Kreis 3,Alt-Wiedikon,47.36347,8.51845,Entire home/apt,167,1,661,2024-12-22,5.08,4,76,51,
2668952,Studio mit absoluter Traumaussicht (51),13570663,Christian Robert,Kreis 1,Lindenhof,47.37554,8.54207,Entire home/apt,116,3,470,2024-12-23,3.71,40,0,62,
2679799,Discover Zürich & relax comfortably,8061776,Salvia,Kreis 2,Wollishofen,47.3367,8.53347,Private room,72,2,168,2024-12-22,1.29,3,39,34,
2759581,Old-town 2 room flat with river view,10651736,Alberto,Kreis 1,Rathaus,47.37569,8.54465,Entire home/apt,123,20,51,2024-11-18,0.40,2,272,6,
2785626,Panoramic View of Zurich with 30sqm Terrace,10250756,Julie,Kreis 5,Escher Wyss,47.39022,8.51972,Entire home/apt,,3,49,2022-07-28,0.39,1,0,0,
2836559,Apartment in best location!,7014021,Jonathan,Kreis 1,Lindenhof,47.37274,8.54002,Entire home/apt,194,2,78,2024-11-17,0.60,1,314,7,
2852452,Centrally located 4-room apartment – a real gem!,9162952,Andreas,Kreis 6,Oberstrass,47.37753,8.54877,Entire home/apt,,14,16,2024-05-10,0.13,1,2,1,
2869081,Letzigrund Blue 4 Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,93,1,18,2020-01-06,0.15,98,338,0,
2869105,Letzigrund Green 4 Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,93,1,14,2023-12-17,0.12,98,340,0,
2869130,Letzigrund Yellow 5 Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,Entire home/apt,98,1,6,2019-08-03,0.05,98,340,0,
2920505,N1 Apartment in the heart of Zurich,12886487,Stephanie,Kreis 1,Rathaus,47.37505,8.54372,Entire home/apt,161,1,31,2024-11-08,0.26,98,347,7,
2920543,N2 - Apartment in the Old Town,12886487,Stephanie,Kreis 1,Rathaus,47.37505,8.54372,Entire home/apt,162,1,45,2024-10-18,0.36,98,340,10,
2920590,ZH Bellevue 3 - HITrental Apartment Zürich,12886487,Stephanie,Kreis 8,Mühlebach,47.36427,8.54935,Entire home/apt,186,1,77,2024-12-17,0.63,98,273,12,
2920698,3 room apartment in a historic town,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,243,1,189,2024-12-17,1.50,98,347,46,
2920742,Gasse 3 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,158,1,48,2024-08-24,0.38,98,344,3,
2920780,Hof 2 - Charming 1 room Studio,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,151,1,48,2024-12-06,0.39,98,354,15,
2920806,Gasse 2 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,162,1,7,2024-07-10,0.07,98,335,1,
2962635,Hof 3 - Charming 1 room Studio,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,Entire home/apt,158,1,28,2024-10-27,0.23,98,342,3,
3209659,"Stadt Zürich , freundliches Zimmer (3)",19610180,Rossana,Kreis 9,Altstetten,47.3804,8.48076,Private room,52,30,33,2024-09-27,0.29,19,363,1,
3470221,"Studio Penthouse Apartment, Seefeld",17484617,Marie,Kreis 8,Mühlebach,47.35697,8.55664,Entire home/apt,220,3,4,2023-12-15,0.04,24,0,0,
3470708,"1-Bedroom Apartment Suite, Kieselgasse",17484617,Marie,Kreis 8,Mühlebach,47.35703,8.5567,Entire home/apt,287,3,11,2024-08-15,0.09,24,10,2,
3483175,"2-Bedroom Family Apartment, Kieselgasse",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.5566,Entire home/apt,415,3,28,2022-08-30,0.22,24,7,0,
3487718,"1-Bedroom Apartment Suite, Kieselgasse",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,262,3,11,2022-11-15,0.09,24,12,0,
3631629,Central location next to the lake 2 room flat,18306611,Natalia,Kreis 8,Mühlebach,47.36455,8.54903,Entire home/apt,,6,53,2024-11-18,0.42,1,0,6,
3673115,Living in the heart of Zürich.,6225442,Gian,Kreis 4,Langstrasse,47.37551,8.53039,Private room,,20,7,2019-11-10,0.06,1,0,0,
3680581,Bright Airy Apt on Lake Zurich,4800368,Lizanne,Kreis 8,Seefeld,47.35603,8.55208,Entire home/apt,500,2,25,2023-07-03,0.20,1,364,0,
3681861,A 1re 2 bedroom Zürich downtown,18715465,Joy,Kreis 7,Hottingen,47.36946,8.55693,Entire home/apt,,2,53,2023-01-02,0.44,4,0,0,
3682204,A4li  2 Bedroom Zürich Downtown,18715465,Joy,Kreis 7,Hottingen,47.37066,8.55775,Entire home/apt,201,2,13,2024-12-15,0.17,4,88,6,
3813905,Stadt Zürich-kleines Studio,19610180,Rossana,Kreis 9,Altstetten,47.38055,8.48124,Entire home/apt,62,1,472,2024-12-15,4.10,19,330,69,
3857206,Stylish apartment in the centre of Zurich.,19898314,Katarína,Kreis 3,Alt-Wiedikon,47.36723,8.51917,Entire home/apt,500,14,15,2023-06-18,0.22,3,365,0,
3872298,beautiful luxury apartment...,20002991,Mars,Kreis 9,Altstetten,47.38965,8.49178,Entire home/apt,95,10,61,2024-08-21,0.49,1,181,4,
3890636,Stadt Zürich -Studio beim Albisriederplatz 4507,19610180,Rossana,Kreis 4,Hard,47.37997,8.50702,Entire home/apt,95,1,622,2024-12-07,4.94,19,360,40,
3941358,Trendy Studio at the best area !,13570663,Christian Robert,Kreis 8,Mühlebach,47.36365,8.54939,Entire home/apt,121,3,131,2024-08-12,1.04,40,362,1,
4145732,"Stadt Zürich-4101 helles Studio,Albisriederplatz",19610180,Rossana,Kreis 4,Hard,47.3800028,8.507072100000002,Entire home/apt,98,1,255,2024-12-29,2.09,19,0,34,
4195239,"Studio Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,166,3,36,2024-03-03,0.30,24,10,1,
4201758,"1-Bedroom Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,177,3,8,2024-03-17,0.07,24,60,1,
4201898,"2-Bedroom Family Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.36051,8.5649,Entire home/apt,330,3,44,2023-12-15,0.38,24,7,0,
4202724,"Studio apartment 40m², Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,220,3,8,2021-11-14,0.07,24,5,0,
4222482,"1-Bedroom Apartment Suite, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,285,3,5,2019-10-31,0.04,24,7,0,
4222657,"2-Bedroom Family Apartment, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,440,3,30,2023-12-28,0.25,24,8,0,
4222997,"1-Bedroom Apartment, Nordstrasse",17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,7,15,2024-07-12,0.12,24,0,2,
4230607,Swiss Design in Zürich-Oerlikon,7349875,Sonja,Kreis 11,Oerlikon,47.40565,8.54868,Entire home/apt,110,7,26,2020-09-27,0.25,1,363,0,
4246456,Mini-Musiker-Zimmer,21714165,Katie,Kreis 1,Rathaus,47.37136,8.54351,Private room,59,1,1264,2024-12-28,10.48,3,0,160,
4281532,"1-Bedroom Apartment Suite, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,285,3,5,2024-12-29,0.04,24,0,2,
4290893,"1-Bedroom Apartment, Nordstrasse",17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,7,6,2021-10-28,0.05,24,0,0,
4298448,Central to lake and train station,9068489,Duygu,Kreis 7,Hottingen,47.37379,8.56275,Private room,90,2,29,2024-09-30,0.24,2,362,8,
4298896,"Central garden flat, 3 bedrooms",9068489,Duygu,Kreis 7,Hottingen,47.37474,8.56254,Private room,300,1,2,2024-07-10,0.30,2,269,2,
4315829,Double bed room 2 Top of Zurich,22404783,Silvia,Kreis 7,Witikon,47.35655,8.59939,Private room,95,2,82,2024-08-12,0.71,3,331,7,
4368558,Modern spacious apartment,17455976,Simon,Kreis 4,Hard,47.38095,8.50514,Entire home/apt,113,100,2,2015-05-23,0.02,1,360,0,
4381761,Style&Large @Hip-Party-Area with HomeCinema.,1926619,Stefan,Kreis 4,Langstrasse,47.3767,8.52546,Entire home/apt,743,1,68,2024-09-29,0.72,1,268,3,
