id;last_scraped;name;host_id;host_url;host_name;host_since;host_location;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_total_listings_count;host_verifications;host_has_profile_pic;host_identity_verified;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;latitude;longitude;property_type;room_type;accommodates;bathrooms;bathrooms_text;bedrooms;beds;amenities;price;minimum_nights;maximum_nights;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;license;instant_bookable;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
29050050;30.12.2024;Family Royal Suite with balcony with balcony 4.3;13570663;https://www.airbnb.com/users/show/13570663;Christian Robert;26.03.2014;Zürich, Switzerland;within an hour;100%;90%;f;41;41;['email', 'phone'];t;t;;Seefeld;Kreis 8;47.36;8.55;Entire rental unit;Entire home/apt;4;1;1 bath;0;2;"[""Wifi"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free dryer \u2013 In building"", ""Single level home"", ""Hot water kettle"", ""Wine glasses"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Iron"", ""High chair"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Outdoor dining area"", ""Private entrance"", ""Clothing storage: walk-in closet and dresser"", ""Kitchen"", ""Baking sheet"", ""Keypad"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Body soap"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Oven"", ""Induction stove"", ""Elevator"", ""Crib"", ""Shower gel"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Lake access"", ""Hot water"", ""Dining table"", ""Paid parking garage off premises"", ""Toaster"", ""Extra pillows and blankets"", ""Heating"", ""Freezer"", ""Private patio or balcony"", ""Coffee"", ""Portable fans"", ""Smoke alarm"", ""Cleaning available during stay"", ""Cooking basics""]";$139.00;3;730;2;3;730;730;2.9;730;;t;23;53;83;358;30.12.2024;151;24;3;09.10.2018;12.12.2024;4.8;4.8;4.68;4.95;4.81;4.93;4.65;;t;40;39;1;0;1.99
29142984;30.12.2024;Central Loft w. sauna, garden and private parking;19785049;https://www.airbnb.com/users/show/19785049;Harm;10.08.2014;Zürich, Switzerland;within an hour;100%;100%;t;2;2;['email', 'phone'];t;t;Zürich, Switzerland;Sihlfeld;Kreis 3;47.38;8.51;Entire loft;Entire home/apt;5;1;1 bath;2;6;"[""Wifi"", ""Dishes and silverware"", ""Changing table"", ""Free washer \u2013 In unit"", ""Bathtub"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Private backyard"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""High chair"", ""Outdoor furniture"", ""Private entrance"", ""Kitchen"", ""Baking sheet"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Oven"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Coffee maker"", ""Elevator"", ""Crib"", ""Shower gel"", ""Lockbox"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Self check-in"", ""Electrolux induction stove"", ""Lake access"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Heating"", ""First aid kit"", ""Private patio or balcony"", ""Smoke alarm"", ""Cooking basics""]";$140.00;2;90;2;2;90;90;2;90;;t;18;48;78;328;30.12.2024;266;51;4;25.05.2020;25.12.2024;4.83;4.88;4.88;4.79;4.86;4.75;4.66;;f;2;2;0;0;4.75
29150595;30.12.2024;Optimum Old Rose Studio;22513551;https://www.airbnb.com/users/show/22513551;Optimum;14.10.2014;Zürich, Switzerland;within an hour;100%;99%;f;68;69;['email', 'phone', 'work_email'];t;t;Zürich, Switzerland;Friesenberg;Kreis 3;47.36;8.5;Entire rental unit;Entire home/apt;2;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Single level home"", ""Paid parking off premises"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Stove"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Keypad"", ""Hangers"", ""Microwave"", ""Bed linens"", ""TV with standard cable"", ""Paid parking on premises"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Free parking on premises"", ""Hot water"", ""Heating"", ""Paid washer \u2013 In building"", ""Cooking basics"", ""Free street parking"", ""City skyline view""]";$122.00;7;1125;28;28;1125;1125;28;1125;;t;0;0;0;0;30.12.2024;30;0;0;21.12.2018;03.07.2023;4.73;4.63;4.63;4.7;4.8;4.53;4.63;;f;28;27;1;0;0.41
29182814;30.12.2024;moderne Unterkunft im lebhaften Stadtzentrum;12341186;https://www.airbnb.com/users/show/12341186;Maria;18.02.2014;Zürich, Switzerland;within an hour;100%;100%;t;1;3;['email', 'phone'];t;t;Zürich, Switzerland;Werd;Kreis 4;47.37;8.53;Private room in rental unit;Private room;2;1;1 shared bath;1;3;"[""Dishes and silverware"", ""Mini fridge"", ""Free washer \u2013 In unit"", ""Single level home"", ""Hot water kettle"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Record player"", ""Soeder body soap"", ""Drying rack for clothing"", ""Clothing storage: dresser"", ""Coffee maker: Nespresso"", ""Outdoor furniture"", ""Elektrolux stainless steel oven"", ""Kitchen"", ""Baking sheet"", ""Rice maker"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Microwave"", ""Dishwasher"", ""Luggage dropoff allowed"", ""River view"", ""Radiant heating"", ""Waterfront"", ""Fast wifi \u2013 505 Mbps"", ""Elevator"", ""Books and reading material"", ""Dedicated workspace"", ""Soeder shampoo"", ""Shower gel"", ""Blender"", ""Free dryer \u2013 In unit"", ""Electrolux stainless steel induction stove"", ""Shared patio or balcony"", ""Barbecue utensils"", ""Board games"", ""UE Boom Bluetooth sound system"", ""Hot water"", ""Dining table"", ""Room-darkening shades"", ""Host greets you"", ""Laundromat nearby"", ""65 inch HDTV with Netflix"", ""Extra pillows and blankets"", ""First aid kit"", ""Exercise equipment: free weights, yoga mat"", ""Freezer"", ""Coffee"", ""Soeder conditioner"", ""Game console: PS4"", ""Cooking basics"", ""Lock on bedroom door""]";$78.00;2;35;2;2;35;35;2;35;;t;10;34;64;66;30.12.2024;241;81;7;22.10.2018;28.12.2024;4.84;4.91;4.83;4.95;4.9;4.88;4.8;;f;1;0;1;0;3.2
29212259;30.12.2024;Alhambra - close to the city and nature;119109136;https://www.airbnb.com/users/show/119109136;Claudio;04.03.2017;Zürich, Switzerland;within an hour;100%;98%;f;1;2;['email', 'phone'];t;t;Zürich, Switzerland;Albisrieden;Kreis 9;47.37;8.49;Entire rental unit;Entire home/apt;1;1;1 bath;1;1;"[""Wifi"", ""Pocket wifi"", ""Dishes and silverware"", ""Single level home"", ""Hot water kettle"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Outdoor dining area"", ""Outdoor furniture"", ""Siemens oven"", ""Private entrance"", ""Technics sound system with aux"", ""Kitchen"", ""Baking sheet"", ""Hangers"", ""Bed linens"", ""Paid street parking off premises"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Lockbox"", ""Varierend body soap"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Clothing storage: wardrobe"", ""Hot water"", ""Siemens electric stove"", ""Garden view"", ""Room-darkening shades"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Central heating"", ""Coffee"", ""Smoke alarm"", ""Cooking basics""]";$59.00;3;90;3;3;1125;1125;3;1125;;t;14;44;62;62;30.12.2024;161;33;3;27.10.2018;25.12.2024;4.66;4.81;4.75;4.83;4.88;4.77;4.68;;f;1;1;0;0;2.14
29232857;30.12.2024;Optimum Petrol Blue Studio;22513551;https://www.airbnb.com/users/show/22513551;Optimum;14.10.2014;Zürich, Switzerland;within an hour;100%;99%;f;68;69;['email', 'phone', 'work_email'];t;t;Zürich, Switzerland;Friesenberg;Kreis 3;47.36;8.5;Entire rental unit;Entire home/apt;2;1;1 bath;1;1;"[""Dishes and silverware"", ""Dryer"", ""Single level home"", ""Hot water kettle"", ""Paid parking off premises"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Kitchen"", ""Keypad"", ""Hangers"", ""Microwave"", ""Bed linens"", ""TV with standard cable"", ""Paid parking on premises"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Long term stays allowed"", ""Self check-in"", ""Ethernet connection"", ""Hot water"", ""Room-darkening shades"", ""Heating"", ""Clothing storage: closet"", ""Paid washer \u2013 In building"", ""Cooking basics"", ""City skyline view""]";$145.00;5;1125;28;28;1125;1125;28;1125;;t;0;28;58;333;30.12.2024;32;0;0;04.11.2018;01.11.2023;4.94;4.91;4.88;4.94;5;4.66;4.72;;f;28;27;1;0;0.43
29247978;30.12.2024;Optimum Silver Studio;22513551;https://www.airbnb.com/users/show/22513551;Optimum;14.10.2014;Zürich, Switzerland;within an hour;100%;99%;f;68;69;['email', 'phone', 'work_email'];t;t;Zürich, Switzerland;Friesenberg;Kreis 3;47.36;8.5;Entire rental unit;Entire home/apt;2;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Single level home"", ""Hot water kettle"", ""Wine glasses"", ""Paid parking off premises"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Bed linens"", ""TV with standard cable"", ""Paid parking on premises"", ""Coffee maker"", ""Elevator"", ""Washer"", ""Dedicated workspace"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Free parking on premises"", ""Hot water"", ""Dining table"", ""Room-darkening shades"", ""Heating"", ""Clothing storage: closet"", ""Coffee"", ""Cooking basics"", ""City skyline view""]";$184.00;1;1125;1;1;1125;1125;1;1125;;t;0;0;0;0;30.12.2024;17;0;0;31.03.2019;30.04.2020;4.82;4.94;4.65;5;5;4.82;4.82;;f;28;27;1;0;0.24
29293306;30.12.2024;Lovely room in the most charming flat in Zürich :);12943781;https://www.airbnb.com/users/show/12943781;Katrin;09.03.2014;Zürich, Switzerland;N/A;N/A;60%;f;2;2;['email', 'phone'];t;t;Zürich, Switzerland;Escher Wyss;Kreis 5;47.39;8.52;Private room in rental unit;Private room;2;;1 shared bath;;;"[""Wifi"", ""Hot water"", ""Dryer"", ""Washer"", ""Extra pillows and blankets"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Essentials"", ""Iron""]";;2;60;2;2;60;60;2;60;;t;0;0;0;0;30.12.2024;20;2;0;28.10.2018;18.04.2024;4.95;4.9;4.9;4.9;4.9;5;4.9;;f;2;1;1;0;0.27
29362212;30.12.2024;Zürich Kreis 5, Prime Tower Umgebung;202944853;https://www.airbnb.com/users/show/202944853;Eluard;17.07.2018;Zürich, Switzerland;within an hour;100%;100%;t;2;3;['email', 'phone'];t;t;;Escher Wyss;Kreis 5;47.39;8.51;Entire rental unit;Entire home/apt;2;1;1 bath;1;2;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Single level home"", ""Paid parking off premises"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Backyard"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Air conditioning"", ""Outdoor dining area"", ""Outdoor furniture"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Dishwasher"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Oven"", ""BBQ grill"", ""Paid parking on premises"", ""Coffee maker"", ""Washer"", ""Dedicated workspace"", ""Shampoo"", ""Long term stays allowed"", ""Ethernet connection"", ""Hot water"", ""Garden view"", ""Host greets you"", ""Heating"", ""Private patio or balcony"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Fire pit""]";$235.00;4;90;4;4;1125;1125;4;1125;;t;28;58;88;363;30.12.2024;41;8;0;03.11.2018;30.09.2024;4.95;4.98;4.98;4.9;4.88;4.85;4.68;;t;2;2;0;0;0.55
29404842;30.12.2024;Loftstudio;13570663;https://www.airbnb.com/users/show/13570663;Christian Robert;26.03.2014;Zürich, Switzerland;within an hour;100%;90%;f;41;41;['email', 'phone'];t;t;Zürich, Switzerland;Seefeld;Kreis 8;47.36;8.55;Entire loft;Entire home/apt;4;1;1 bath;0;2;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hot water kettle"", ""Wine glasses"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Crib - available upon request"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Private entrance"", ""Kitchen"", ""Standalone high chair - available upon request"", ""Keypad"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Microwave"", ""Body soap"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Elevator"", ""Clothing storage"", ""Shower gel"", ""Kindersicherung - Taste mit dem Schloss ein paar Sekunden dr\u00fccken stove"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Lake access"", ""Hot water"", ""Dining table"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Toaster"", ""Extra pillows and blankets"", ""Heating"", ""Freezer"", ""Coffee"", ""Portable fans"", ""Smoke alarm"", ""Cleaning available during stay"", ""Cooking basics""]";$128.00;3;1125;1;3;1125;1125;2.9;1125;;t;27;57;87;362;30.12.2024;91;11;0;29.10.2018;07.10.2024;4.75;4.88;4.68;4.93;4.8;4.96;4.65;;f;40;39;1;0;1.21
29583087;30.12.2024;TOP-Lage - Wohnung am See mit Balkon+Arbeitsplatz;146785283;https://www.airbnb.com/users/show/146785283;Martin;19.08.2017;Zürich, Switzerland;within a day;70%;31%;f;1;1;['email', 'phone'];t;t;;Seefeld;Kreis 8;47.36;8.56;Entire rental unit;Entire home/apt;3;1;1 bath;1;2;"[""Wifi"", ""Outdoor dining area"", ""Hot water"", ""Air conditioning"", ""Washer"", ""Dedicated workspace"", ""Kitchen"", ""Pets allowed"", ""Free dryer \u2013 In unit"", ""Essentials"", ""Smoke alarm"", ""Radiant heating"", ""BBQ grill"", ""TV""]";$77.00;3;60;3;3;60;60;3;60;;t;0;0;0;50;30.12.2024;6;3;3;20.02.2022;19.12.2024;4.83;4.83;4.67;5;4.5;5;4.83;;f;1;1;0;0;0.17
29655342;30.12.2024;Cozy studio with great city and lake connections;100886524;https://www.airbnb.com/users/show/100886524;David;23.10.2016;Zürich, Switzerland;within an hour;100%;92%;t;1;1;['email', 'phone'];t;t;Zürich, Switzerland;Sihlfeld;Kreis 3;47.38;8.5;Entire rental unit;Entire home/apt;2;1;1 bath;0;1;"[""Dishes and silverware"", ""Single level home"", ""Hot water kettle"", ""Safe"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Patio or balcony"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Outdoor dining area"", ""Coffee maker: Nespresso"", ""Outdoor furniture"", ""Kitchen"", ""Baking sheet"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Body soap"", ""Paid street parking off premises"", ""Oven"", ""Carbon monoxide alarm"", ""Fast wifi \u2013 110 Mbps"", ""Shower gel"", ""Lockbox"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Self check-in"", ""Barbecue utensils"", ""Clothing storage: wardrobe"", ""Ethernet connection"", ""Hot water"", ""Room-darkening shades"", ""32 inch HDTV with Apple TV, standard cable"", ""Extra pillows and blankets"", ""Heating"", ""Freezer"", ""Paid washer \u2013 In building"", ""Coffee"", ""Portable fans"", ""Smoke alarm"", ""Cleaning available during stay"", ""Cooking basics""]";$104.00;3;1125;2;6;1125;1125;3.5;1125;;t;20;42;54;124;30.12.2024;222;50;2;11.11.2018;21.12.2024;4.94;4.95;4.83;4.99;5;4.79;4.82;;f;1;1;0;0;2.97
29692684;30.12.2024;Nice 2.5 Maisonette in Zürich in a quit area;20462872;https://www.airbnb.com/users/show/20462872;Irina;24.08.2014;Zürich, Switzerland;N/A;N/A;N/A;f;2;2;['email', 'phone'];t;t;Zürich, ZH, Switzerland;Affoltern;Kreis 11;47.42;8.51;Entire rental unit;Entire home/apt;2;;1 bath;1;;"[""Wifi"", ""Dishes and silverware"", ""Hair dryer"", ""Patio or balcony"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Baking sheet"", ""Hangers"", ""Body soap"", ""TV with standard cable"", ""Oven"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Shower gel"", ""Shampoo"", ""Free parking on premises"", ""Hot water"", ""Host greets you"", ""First aid kit"", ""Central heating"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking""]";;2;30;2;2;30;30;2;30;;t;0;0;0;0;30.12.2024;10;0;0;02.01.2019;28.04.2021;4.5;4.8;4.8;4.7;5;5;4.8;;f;1;1;0;0;0.14
29769890;30.12.2024;Cosy room in Zurich;19395155;https://www.airbnb.com/users/show/19395155;Laurence;03.08.2014;Zürich, Switzerland;a few days or more;0%;N/A;f;1;2;['email', 'phone'];t;f;Zürich, Switzerland;Enge;Kreis 2;47.36;8.53;Private room in rental unit;Private room;1;1;1 shared bath;1;1;"[""Wifi"", ""Indoor fireplace"", ""Coffee maker"", ""Washer"", ""Dryer"", ""Heating"", ""Kitchen"", ""Hangers"", ""Private living room"", ""Shampoo"", ""Essentials"", ""Iron"", ""TV""]";$9,840.00;1;60;1;1;60;60;1;60;;t;29;59;89;364;30.12.2024;4;0;0;23.11.2018;22.12.2018;5;5;5;5;5;5;5;;f;1;0;1;0;0.05
29770166;30.12.2024;Private Room + Bath  - 10min to Zurich Mainstation;18455156;https://www.airbnb.com/users/show/18455156;Chiphong;20.07.2014;Zürich, Switzerland;N/A;N/A;N/A;f;1;1;['email', 'phone'];t;t;Zürich, Switzerland;Wollishofen;Kreis 2;47.34;8.52;Private room in rental unit;Private room;2;;1 shared bath;;;"[""Wifi"", ""Paid parking lot off premises"", ""Single level home"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Air conditioning"", ""Hangers"", ""Bed linens"", ""Body soap"", ""Paid parking on premises"", ""Elevator"", ""Shower gel"", ""Lockbox"", ""Shampoo"", ""Self check-in"", ""Hot water"", ""Extra pillows and blankets"", ""Heating"", ""Free street parking"", ""Lock on bedroom door""]";;7;10;7;7;1125;1125;7;1125;;t;0;0;0;0;30.12.2024;71;0;0;28.11.2018;04.11.2021;4.9;4.92;4.99;4.94;4.9;4.79;4.72;;t;1;0;1;0;0.96
29843172;30.12.2024;No longer available;18381905;https://www.airbnb.com/users/show/18381905;Jude;19.07.2014;Thornton Heath, United Kingdom;N/A;N/A;0%;f;2;4;['email', 'phone', 'work_email'];t;t;;Seebach;Kreis 11;47.42;8.55;Private room in rental unit;Private room;1;1;1 private bath;1;1;"[""Wifi"", ""Dryer"", ""Private living room"", ""Essentials"", ""Iron"", ""Air conditioning"", ""Smoking allowed"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Elevator"", ""Washer"", ""Free parking on premises"", ""Heating"", ""First aid kit"", ""Pets allowed"", ""Smoke alarm"", ""TV""]";$40.00;30;1125;30;30;1125;1125;30;1125;;t;30;60;90;365;30.12.2024;0;0;0;;;;;;;;;;;t;1;0;1;0;
29895316;30.12.2024;Fantastic 1 BR flat, city center, near lake (SF15);23561865;https://www.airbnb.com/users/show/23561865;Dimi;10.11.2014;Zurich, Switzerland;within an hour;100%;97%;;182;229;['email', 'phone', 'work_email'];t;t;Zürich, Switzerland;Mühlebach;Kreis 8;47.36;8.56;Entire rental unit;Entire home/apt;4;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Hair dryer"", ""Patio or balcony"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Oven"", ""Coffee maker"", ""Washer"", ""Dedicated workspace"", ""Lockbox"", ""Long term stays allowed"", ""Self check-in"", ""Hot water"", ""Heating"", ""Cooking basics"", ""TV""]";$175.00;2;1125;2;2;1125;1125;2;1125;;t;16;29;49;131;30.12.2024;100;19;2;07.12.2018;23.12.2024;4.86;4.92;4.83;4.93;4.89;4.94;4.7;;t;115;115;0;0;1.35
29926557;30.12.2024;Binz 111-B128;101179485;https://www.airbnb.com/users/show/101179485;Vinh;25.10.2016;Zürich, Switzerland;within an hour;90%;100%;f;4;8;['email', 'phone'];t;t;;Alt-Wiedikon;Kreis 3;47.36;8.52;Entire rental unit;Entire home/apt;2;1;1 bath;1;0;"[""Wifi"", ""Dishes and silverware"", ""Hair dryer"", ""Patio or balcony"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Bed linens"", ""Oven"", ""Elevator"", ""Lockbox"", ""Long term stays allowed"", ""Self check-in"", ""Ethernet connection"", ""Hot water"", ""Heating"", ""Cleaning available during stay""]";$100.00;1;60;1;1;1125;1125;1;1125;;t;21;51;81;171;30.12.2024;60;21;0;09.12.2018;31.10.2024;4.62;4.77;4.75;4.77;4.7;4.75;4.55;;t;4;4;0;0;0.81
29989383;30.12.2024;Two Room Comfort Apartment sleeps 4;96791954;https://www.airbnb.com/users/show/96791954;Arno;26.09.2016;Switzerland;within an hour;100%;100%;;9;17;['email', 'phone'];t;t;Zürich, Switzerland;Werd;Kreis 4;47.37;8.53;Entire rental unit;Entire home/apt;4;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Stainless steel electric stove"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Oven"", ""42 inch HDTV with standard cable"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Hot water"", ""Heating"", ""Private patio or balcony"", ""Cooking basics"", ""Exterior security cameras on property""]";$264.00;2;1125;1;2;1125;1125;2;1125;;t;27;57;87;177;30.12.2024;73;9;0;28.01.2019;11.08.2024;4.82;4.82;4.86;4.9;4.95;4.78;4.58;;t;5;5;0;0;1.01
29990461;30.12.2024;Three Room Comfort Apartment sleeps 5;96791954;https://www.airbnb.com/users/show/96791954;Arno;26.09.2016;Switzerland;within an hour;100%;100%;;9;17;['email', 'phone'];t;t;Zürich, Switzerland;Sihlfeld;Kreis 3;47.37;8.53;Entire rental unit;Entire home/apt;5;1.5;1.5 baths;2;3;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Bed linens"", ""Luggage dropoff allowed"", ""42 inch HDTV with standard cable"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Ethernet connection"", ""Hot water"", ""Heating"", ""Private patio or balcony"", ""Cooking basics"", ""Exterior security cameras on property""]";$418.00;2;1125;1;2;1125;1125;2;1125;;t;27;57;87;177;30.12.2024;163;7;0;17.12.2018;20.10.2024;4.78;4.82;4.8;4.94;4.92;4.65;4.56;;t;5;5;0;0;2.22
29990566;30.12.2024;Two Room Deluxe Apartment sleeps 2 ( max 4);96791954;https://www.airbnb.com/users/show/96791954;Arno;26.09.2016;Switzerland;within an hour;100%;100%;;9;17;['email', 'phone'];t;t;Zürich, Switzerland;Sihlfeld;Kreis 3;47.37;8.53;Entire rental unit;Entire home/apt;4;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Bed linens"", ""Luggage dropoff allowed"", ""42 inch HDTV with standard cable"", ""City skyline view"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Shared patio or balcony"", ""Ethernet connection"", ""Hot water"", ""Heating"", ""Cooking basics"", ""Exterior security cameras on property""]";$272.00;2;1125;1;2;1125;1125;2;1125;;t;6;21;51;141;30.12.2024;16;2;0;17.12.2018;11.07.2024;4.63;4.88;4.75;4.94;4.88;4.69;4.5;;t;5;5;0;0;0.22
29990656;30.12.2024;One Room Junior Apartment sleeps 2;96791954;https://www.airbnb.com/users/show/96791954;Arno;26.09.2016;Switzerland;within an hour;100%;100%;;9;17;['email', 'phone'];t;t;Zürich, Switzerland;Werd;Kreis 4;47.37;8.53;Entire rental unit;Entire home/apt;2;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""32 inch HDTV with standard cable"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Bed linens"", ""Luggage dropoff allowed"", ""City skyline view"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Ethernet connection"", ""Hot water"", ""Heating"", ""Cooking basics"", ""Exterior security cameras on property""]";$181.00;2;1125;1;2;1125;1125;2;1125;;t;1;5;26;93;30.12.2024;14;5;1;18.08.2019;07.12.2024;4.93;5;4.93;4.93;4.86;4.79;4.79;;t;5;5;0;0;0.21
29990728;30.12.2024;Two Room Superior Apartment sleeps 2 (max 4);96791954;https://www.airbnb.com/users/show/96791954;Arno;26.09.2016;Switzerland;within an hour;100%;100%;;9;17;['email', 'phone'];t;t;Zürich, Switzerland;Werd;Kreis 4;47.37;8.53;Entire rental unit;Entire home/apt;4;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Hangers"", ""Bed linens"", ""Luggage dropoff allowed"", ""42 inch HDTV with standard cable"", ""City skyline view"", ""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Ethernet connection"", ""Hot water"", ""Heating"", ""Private patio or balcony"", ""Cooking basics"", ""Exterior security cameras on property""]";$276.00;2;1125;1;2;1125;1125;2;1125;;t;14;41;67;143;30.12.2024;75;8;0;17.02.2019;18.10.2024;4.63;4.79;4.71;4.92;4.88;4.76;4.56;;t;5;5;0;0;1.05
