listing_id,date
73282,2012-05-19
73282,2012-06-10
73282,2012-06-27
73282,2012-07-19
73282,2012-08-19
73282,2012-09-03
73282,2012-09-09
73282,2012-09-24
73282,2012-10-01
73282,2012-11-08
73282,2012-11-13
73282,2012-12-21
73282,2013-01-29
73282,2013-07-04
73282,2013-07-10
73282,2013-07-15
73282,2013-07-21
73282,2013-07-29
73282,2013-08-12
73282,2013-09-22
73282,2013-12-14
73282,2014-01-03
73282,2014-02-08
73282,2014-09-20
73282,2014-09-28
73282,2015-01-17
73282,2015-06-01
73282,2015-09-01
73282,2015-09-13
73282,2016-05-06
73282,2016-07-19
73282,2016-07-26
73282,2016-08-30
73282,2016-10-10
73282,2016-12-03
73282,2017-01-02
73282,2017-03-08
73282,2017-04-05
73282,2017-08-16
73282,2018-01-03
73282,2018-04-11
73282,2018-07-07
73282,2018-08-23
73282,2018-10-15
73282,2018-12-18
73282,2019-04-04
73282,2019-04-27
178448,2011-08-30
178448,2011-09-03
178448,2011-09-10
178448,2011-10-30
178448,2011-12-03
178448,2015-09-11
178448,2015-10-15
178448,2016-03-17
178448,2016-05-10
227039,2011-11-04
227039,2012-03-05
227039,2012-05-21
227039,2012-06-24
227039,2012-06-28
227039,2012-07-10
227039,2012-07-27
227039,2013-04-22
227039,2013-11-02
227039,2013-12-24
227039,2014-01-04
227039,2014-03-04
227039,2014-04-27
227039,2014-07-28
227039,2014-08-18
227039,2015-09-12
227039,2016-06-11
227039,2016-07-13
227039,2016-08-18
227039,2016-09-06
227039,2017-07-02
227039,2018-01-28
227039,2019-03-03
227039,2019-03-14
227039,2019-06-02
227039,2019-12-20
227039,2020-08-14
227039,2021-08-20
227039,2022-04-03
227039,2022-07-30
227039,2023-08-22
251204,2022-10-03
292351,2018-01-04
292351,2018-06-22
292351,2018-07-17
292351,2018-08-08
292351,2018-09-21
292351,2019-07-05
292351,2019-07-14
292351,2019-07-20
292351,2021-10-10
292351,2023-07-31
292351,2024-08-11
310964,2012-07-25
310964,2012-10-24
310964,2013-08-20
310964,2014-01-02
310964,2014-08-08
310964,2014-08-11
310964,2014-08-18
310964,2015-01-03
310964,2015-07-20
310964,2015-08-16
310964,2017-08-05
310964,2017-08-11
310964,2019-01-06
577683,2012-11-25
577683,2013-05-12
577683,2013-06-21
577683,2013-08-31
577683,2015-03-14
577683,2018-04-16
577683,2021-07-03
606954,2014-08-05
606954,2014-10-09
606954,2020-03-10
610348,2012-09-17
610348,2013-02-28
610348,2013-06-09
610348,2013-09-24
610348,2013-12-24
610348,2014-01-10
610348,2014-04-16
610348,2014-05-08
610348,2014-05-17
610348,2014-05-26
610348,2014-09-25
610348,2014-10-05
610348,2014-12-28
610348,2015-02-23
610348,2015-03-15
610348,2015-06-10
610348,2015-06-20
610348,2015-07-04
610348,2015-07-24
610348,2015-09-11
610348,2015-09-14
610348,2015-10-12
610348,2015-10-17
610348,2015-11-16
610348,2015-12-27
610348,2016-03-22
610348,2016-04-06
610348,2016-04-27
610348,2016-05-17
610348,2016-05-30
610348,2016-06-10
610348,2016-06-25
610348,2016-09-02
610348,2016-09-08
610348,2016-09-13
610348,2016-09-16
610348,2017-01-02
610348,2017-03-21
610348,2017-03-27
610348,2017-05-08
610348,2017-05-28
610348,2017-06-09
610348,2017-07-21
610348,2017-08-13
610348,2017-08-24
610348,2017-08-28
610348,2017-09-21
610348,2017-09-27
